tax_id,name_txt,HutH
1410605,Bifidobacterium pseudolongum subsp. globosum DSM 20092,False
1410644,Bifidobacterium adolescentis DSM 20087,False
1410645,Bifidobacterium boum DSM 20432,False
1410646,Bifidobacterium merycicum DSM 6492,False
1410647,Bifidobacterium ruminantium DSM 6489,False
1410648,Bifidobacterium thermophilum DSM 20212,False
1415606,Bifidobacterium animalis subsp. lactis CECT 8145,False
1422837,Bifidobacterium bifidum VIII-210,False
1422838,Bifidobacterium longum VIII-240,False
1422839,Bifidobacterium longum X-95,False
1422840,Bifidobacterium adolescentis XVI-120,False
1422841,Bifidobacterium adolescentis XVI122,False
1435051,Bifidobacterium moukalabense DSM 27321,False
1435463,Bifidobacterium porcinum DSM 17755,False
1435464,Bifidobacterium psychraerophilum DSM 22366,False
1437594,Bifidobacterium asteroides DSM 20089,False
1437595,Bifidobacterium pseudolongum subsp. pseudolongum DSM 20099,False
1437596,Bifidobacterium thermophilum DSM 20210,False
1437597,Bifidobacterium longum subsp. suis DSM 20211,True
1437599,Bifidobacterium coryneforme DSM 20216,False
1437600,Bifidobacterium pullorum DSM 20433,False
1437601,Bifidobacterium cuniculi DSM 20435,False
1437602,Bifidobacterium pullorum subsp. gallinarum DSM 20670,False
1437603,Bifidobacterium mongoliense DSM 21395,False
1437605,Bifidobacterium actinocoloniiforme DSM 22766,False
1437606,Bifidobacterium bohemicum DSM 22767,False
1437607,Bifidobacterium saguini DSM 23967,False
1437608,Bifidobacterium biavatii DSM 23969,False
1437609,Bifidobacterium callitrichos DSM 23973,False
1437610,Bifidobacterium reuteri DSM 23975,False
1437611,Bifidobacterium pullorum subsp. saeculare DSM 6531 = LMG 14934,False
1437612,Bifidobacterium adolescentis JCM 15918,False
1447715,Bifidobacterium pseudolongum PV8-2,False
1447716,Bifidobacterium catenulatum PV20-2,False
1454376,Bifidobacterium pseudocatenulatum IPLA36007,False
1457183,Bifidobacterium longum subsp. infantis EK3,False
1457184,Bifidobacterium longum subsp. longum 72B,True
1457185,Bifidobacterium longum subsp. longum EK5,True
1457186,Bifidobacterium longum subsp. longum EK13,True
2608897,unclassified Bifidobacterium,True
3436925,Bifidobacterium longum LL6991,True
