tax_id,HutH,name_txt
1410605,False,Bifidobacterium pseudolongum subsp. globosum DSM 20092
1410644,False,Bifidobacterium adolescentis DSM 20087
1410645,False,Bifidobacterium boum DSM 20432
1410646,False,Bifidobacterium merycicum DSM 6492
1410647,False,Bifidobacterium ruminantium DSM 6489
1410648,False,Bifidobacterium thermophilum DSM 20212
1415606,False,Bifidobacterium animalis subsp. lactis CECT 8145
1422837,False,Bifidobacterium bifidum VIII-210
1422838,False,Bifidobacterium longum VIII-240
1422839,False,Bifidobacterium longum X-95
1422840,False,Bifidobacterium adolescentis XVI-120
1422841,False,Bifidobacterium adolescentis XVI122
1435051,False,Bifidobacterium moukalabense DSM 27321
1435463,False,Bifidobacterium porcinum DSM 17755
1435464,False,Bifidobacterium psychraerophilum DSM 22366
1437594,False,Bifidobacterium asteroides DSM 20089
1437595,False,Bifidobacterium pseudolongum subsp. pseudolongum DSM 20099
1437596,False,Bifidobacterium thermophilum DSM 20210
1437597,True,Bifidobacterium longum subsp. suis DSM 20211
1437599,False,Bifidobacterium coryneforme DSM 20216
1437600,False,Bifidobacterium pullorum DSM 20433
1437601,False,Bifidobacterium cuniculi DSM 20435
1437602,False,Bifidobacterium pullorum subsp. gallinarum DSM 20670
1437603,False,Bifidobacterium mongoliense DSM 21395
1437605,False,Bifidobacterium actinocoloniiforme DSM 22766
1437606,False,Bifidobacterium bohemicum DSM 22767
1437607,False,Bifidobacterium saguini DSM 23967
1437608,False,Bifidobacterium biavatii DSM 23969
1437609,False,Bifidobacterium callitrichos DSM 23973
1437610,False,Bifidobacterium reuteri DSM 23975
1437611,False,Bifidobacterium pullorum subsp. saeculare DSM 6531 = LMG 14934
1437612,False,Bifidobacterium adolescentis JCM 15918
1447715,False,Bifidobacterium pseudolongum PV8-2
1447716,False,Bifidobacterium catenulatum PV20-2
1454376,False,Bifidobacterium pseudocatenulatum IPLA36007
1457183,False,Bifidobacterium longum subsp. infantis EK3
1457184,True,Bifidobacterium longum subsp. longum 72B
1457185,True,Bifidobacterium longum subsp. longum EK5
1457186,True,Bifidobacterium longum subsp. longum EK13
2608897,True,unclassified Bifidobacterium
3436925,True,Bifidobacterium longum LL6991
